month,region,cluster,latitude,longitude,trend_line
2,US,3,37.0902,-95.7129,652.1978653530377
2,Russia,2,60.0,90.0,173.98193760262723
2,United Kingdom,2,55.3781,-3.4360000000000004,161.7608100711549
2,Turkey,2,38.9637,35.2433,157.81882868089764
2,France,2,46.2276,2.2137,104.8552271483306
2,Brazil,2,-14.235,-51.9253,90.25725232621787
2,India,1,21.0,78.0,52.35933223864259
2,Peru,1,-9.19,-75.0152,51.525177887246855
2,Saudi Arabia,1,24.0,45.0,28.172687465790915
2,Ireland,1,53.1424,-7.6921,27.774767378215653
2,Japan,1,36.0,138.0,25.507936507936513
2,Singapore,1,1.2833,103.8333,24.186918445539135
2,Ontario,1,51.2538,-85.3232,22.09496442255063
2,Mexico,1,23.6345,-102.5528,21.336891078270387
2,Belgium,0,50.8333,4.0,17.053366174055828
2,United Arab Emirates,0,24.0,54.0,15.775588396278051
2,Ukraine,0,48.3794,31.1656,15.548440065681445
2,Qatar,0,25.3548,51.1839,15.444991789819376
2,Belarus,0,53.7098,27.9534,15.443076081007115
2,Pakistan,0,30.3753,69.3451,14.754241926655718
2,Quebec,0,52.9399,-73.5491,14.733716475095786
2,Serbia,0,44.0165,21.0059,13.957307060755337
2,Sweden,0,63.0,16.0,13.866721401204158
2,Bangladesh,0,23.685,90.3563,11.948823207443898
2,Indonesia,0,-0.7893,113.9213,11.612205801860974
2,Ecuador,0,-1.8312,-78.1834,11.174876847290639
2,Poland,0,51.9194,19.1451,10.05008210180624
2,Chile,0,-35.6751,-71.543,9.502463054187192
2,Romania,0,45.9432,24.9668,8.060481663929938
2,Netherlands,0,52.1326,5.2913,7.767104542966611
2,Dominican Republic,0,18.7357,-70.1627,7.686371100164204
2,Morocco,0,31.7917,-7.0926,5.46031746031746
2,Egypt,0,26.0,30.0,5.340722495894909
2,Alberta,0,53.9333,-116.5765,5.137657361795294
2,Kuwait,0,29.5,47.75,4.750684181718665
2,Colombia,0,4.5709,-74.2973,4.442528735632183
2,Panama,0,8.538,-80.7821,4.3754789272030665
2,Moldova,0,47.4116,28.3699,4.360700602079912
2,Uzbekistan,0,41.3775,64.5853,4.121510673234811
2,Djibouti,0,11.8251,42.5903,3.7939244663382596
2,Oman,0,21.0,57.0,3.536672140120416
2,Bahrain,0,26.0275,50.55,3.454022988505747
2,Ghana,0,7.9465,-1.0232,3.179255610290093
2,Kazakhstan,0,48.0196,66.9237,3.137931034482758
2,Hungary,0,47.1625,19.5033,2.4715380405035576
2,Philippines,0,13.0,122.0,2.281061850027367
2,Algeria,0,28.0339,1.6596,2.042145593869732
2,Hubei,0,30.9756,112.2707,2.0355774493705527
2,Cuba,0,22.0,-80.0,1.9534756431308156
2,Guinea,0,9.9456,-9.6966,1.917624521072797
