month,region,cluster,latitude,longitude,trend_line
2,US,1,37.0902,-95.7129,652.197865
2,Russia,2,60.0,90.0,173.981938
2,United Kingdom,2,55.3781,-3.4360000000000004,161.760810
2,Turkey,2,38.9637,35.2433,157.818829
2,France,3,46.2276,2.2137,104.855227
2,Brazil,3,-14.235,-51.9253,90.257252
2,India,0,21.0,78.0,52.359332
2,Peru,0,-9.19,-75.0152,51.525178
2,Saudi Arabia,0,24.0,45.0,28.172687
2,Ireland,0,53.1424,-7.6921,27.774767
2,Japan,0,36.0,138.0,25.507937
2,Singapore,0,1.2833,103.8333,24.186918
2,Ontario,0,51.2538,-85.3232,22.094964
2,Mexico,0,23.6345,-102.5528,21.336891
2,Belgium,0,50.8333,4.0,17.053366
2,United Arab Emirates,0,24.0,54.0,15.775588
2,Ukraine,0,48.3794,31.1656,15.548440
2,Qatar,0,25.3548,51.1839,15.444992
2,Belarus,0,53.7098,27.9534,15.443076
2,Pakistan,0,30.3753,69.3451,14.754242
2,Quebec,0,52.9399,-73.5491,14.733716
2,Serbia,0,44.0165,21.0059,13.957307
2,Sweden,0,63.0,16.0,13.866721
2,Bangladesh,0,23.685,90.3563,11.948823
2,Indonesia,0,-0.7893,113.9213,11.612206
2,Ecuador,0,-1.8312,-78.1834,11.174877
2,Poland,0,51.9194,19.1451,10.050082
2,Chile,0,-35.6751,-71.543,9.502463
2,Romania,0,45.9432,24.9668,8.060482
2,Netherlands,0,52.1326,5.2913,7.767105
2,Dominican Republic,0,18.7357,-70.1627,7.686371
2,Morocco,0,31.7917,-7.0926,5.460317
2,Egypt,0,26.0,30.0,5.340722
2,Alberta,0,53.9333,-116.5765,5.137657
2,Kuwait,0,29.5,47.75,4.750684
2,Colombia,0,4.5709,-74.2973,4.442529
2,Panama,0,8.538,-80.7821,4.375479
2,Moldova,0,47.4116,28.3699,4.360701
2,Uzbekistan,0,41.3775,64.5853,4.121511
2,Djibouti,0,11.8251,42.5903,3.793924
2,Oman,0,21.0,57.0,3.536672
2,Bahrain,0,26.0275,50.55,3.454023
2,Ghana,0,7.9465,-1.0232,3.179256
2,Kazakhstan,0,48.0196,66.9237,3.137931
2,Hungary,0,47.1625,19.5033,2.471538
2,Philippines,0,13.0,122.0,2.281062
2,Algeria,0,28.0339,1.6596,2.042146
2,Hubei,0,30.9756,112.2707,2.035577
2,Cuba,0,22.0,-80.0,1.953476
2,Guinea,0,9.9456,-9.6966,1.917625
