continent,week,avg_confirmed,max_confirmed,min_confirmed,stdev_confirmed
AFRICA,5,0.0,0.0,0.0,0.0
AFRICA,6,0.0,0.0,0.0,0.0
AFRICA,7,0.14285714285714288,1.0,0.0,0.3779644730092272
AFRICA,8,0.0,0.0,0.0,0.0
AFRICA,9,0.42857142857142855,1.0,0.0,0.5345224838248487
AFRICA,10,10.857142857142858,39.0,0.0,13.752921767495703
AFRICA,11,28.71428571428571,68.0,8.0,24.492953311202836
AFRICA,12,125.71428571428572,214.0,61.0,52.674200787211085
AFRICA,13,385.14285714285717,474.0,244.0,85.25926845301252
AFRICA,14,522.2857142857143,764.0,354.0,131.40866826521793
AFRICA,15,604.7142857142857,754.0,528.0,81.18849320298676
AFRICA,16,986.7142857142857,1251.0,711.0,226.07868415348543
AFRICA,17,1247.857142857143,1457.0,1015.0,191.57194346722468
AFRICA,18,1671.5714285714287,2054.0,1272.0,272.59974146653013
AFRICA,19,2511.5714285714284,3436.0,1802.0,501.78476698775177
AFRICA,20,2818.1428571428573,3168.0,2512.0,221.25809105463887
AMERICA,5,0.8571428571428571,4.0,0.0,1.4638501094227998
AMERICA,6,0.8571428571428571,3.0,0.0,1.2149857925879117
AMERICA,7,0.2857142857142857,1.0,0.0,0.48795003647426666
AMERICA,8,0.5714285714285715,3.0,0.0,1.1338934190276817
AMERICA,9,12.571428571428571,37.0,1.0,12.817398889233116
AMERICA,10,77.85714285714286,152.0,26.0,53.35862495551078
AMERICA,11,519.4285714285714,930.0,89.0,279.4368486455435
AMERICA,12,5014.428571428572,9216.0,1521.0,3146.205325845876
AMERICA,13,17290.714285714286,22303.0,11667.0,4670.768342014181
AMERICA,14,31740.14285714286,36533.0,23564.0,4554.438254002771
AMERICA,15,36794.857142857145,41206.0,32913.0,3506.3423691253843
AMERICA,16,36139.71428571428,40653.0,31509.0,3921.743690175146
AMERICA,17,40749.57142857143,56960.0,33168.0,8197.437442216173
AMERICA,18,41691.57142857143,49658.0,32239.0,5571.131538480097
AMERICA,19,42595.42857142857,47920.0,35433.0,4841.205389058351
AMERICA,20,45007.71428571428,55239.0,32510.0,8423.958703489425
